specialties,company_name,industry,contact_phone,contact_email,company_website,contact_name,designation,city_id,building_location,admin_id,contact_name_notes,company_address
,Luxhabitat,,971 4 4327972,customercare@luxhabitat.ae,https://www.luxhabitat.ae/,Mr. Greg,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,spoke to admin sent mail to admin,
,Credence International,,971 4 5?5?659?00,info@credence-international.com,http://www.credence-international.com/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,NP call,
,"Taramesh General Trading, LLC",,971 4 3697244,info@taramesh.ae,http://www.taramesh.ae/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,Rpt,
,"Vaya General Trading, LLC",,971 4 3697244,info@vaya.ae,http://www.vaya.ae/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,spoke to admin sent mail,
,Foamglas Building,,971 4 4347140,info@foamglas.ae,http://ae.foamglas.com/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,Not valid number,
,Al-Jazirah Printing Press & Publishing,,971 4 4541450,sipasaha@al-jazirah.com.sa,http://www.al-jazirah.com,Ms. Sipasha,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,spoke to admin sent mail to hr,
,The Hub Concept,,971 4 3649250,info@thehubconcept.com,http://www.thehubconcept.com/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,Not valid number,
,"Pennington Real Estate, LLC",,"97144537375 ,",info@pennington.ae,http://www.pennington.ae/,HR,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,NP call,
,"Eagle Global Transport, LLC",,971 4 8?8?004?71,dev@egpme.com,http://www.eaglelogisticservice.com/,Mr. Dev,,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,spoke to admin sent mail to hr,
,Careem,,971 4 4405222,info@careem.com,https://www.careem.com/dubai/node,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,"Travelstart FZ, LLC",,971 4 5515322,info@travelstart.ae,https://www.travelstart.ae,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,"Innocean Worldwide Middle East & Africa, FZC",,971 4 5149423,velentina@innocean.com,http://www.innocean.com/ww-en/,Ms. Velentina,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,DESCO,,971 4 4465810,descoalshatha@descoonline.com,http://www.descoonline.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,"Planworks Communication Fz, LLC",,971 4 4572918,sales@planworksme.com,http://planworksme.com/,Ms. Deepa,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,"Argus Media, LTD",,971 4 4345112,dubai@argusmedia.com,http://www.argusmedia.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Yzer Group,,971 4 5148100,reception@yzergroup.com,https://yzerproperty.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Spoke to admin sent mail,
,CH2M,,971 4 4517853,Lorrie.Crum@ch2m.com,https://www.ch2m.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Wrong number,
,"Red Group Services FZ, LLC",,971 4 4503873,info@red-it.com,http://www.red-eng.com/Services/ict-services/,Mr. Loy,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Call later for mr. Loy,
,SICPA Security Solutions,,971 4 4468900,info@sicpa.com,http://www.sicpa.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not valid number,
,"LCC Middle East FZ, LLC",,971 4 3911700,info@lcc.com,http://www.lcc.com/index.php/en/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Beematters,,971 4 4279704,info@beematters.com,http://beematters.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Panache Middle East,,971 4 4548511,khristine.p@panachemiddleeast.com,http://www.panachemiddleeast.com/,Ms. Khristine,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,Media International Advertising,,971 4 4548690,info@meiac-uk.com,http://www.meiac-uk.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Multi Choice Africa,,971 4 4397900,info@multichoice.com,http://www.multichoice.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,,
,DNO International,,971 4 3642620,dno@dno.no,dno@dno.no,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,,
,TK MMA & Fitness,,97144523388,ac@tkmmafit.com,http://tkmmafit.com/,Mr. Rama,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,Bluebay Real Estate,,971 4 4210430,maher.khalil@bluebayae.com,http://www.bluebayae.com/,Mr. Maher,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to director,
,"Exclusive Networks, company",,971 4 3757612,info@exclusive-networks.com,http://www.exclusive-networks.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,"i4 Research FZ, LLC",,971 4 446 1511,info@i4research.ae,http://www.i4research.ae/,Ms. Sangeetha,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,No need,
,Zaini Media,,971 4 4412092,info@zainimedia.com,http://www.zainimedia.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Np call,
,AIMS,,971 4 4279669,info@aimsuae.com,https://www.aimsuae.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Evolution Media Network Advertising,,971 4 5149533,info@evmedianetwork.com,http://www.ev-advertising.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Tradall,,971 4 4233868,wsilbeiira@bacardi.com,http://www.bacardi.com/in/lda,Ms.Vendy,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to HR,
,"Sea Bird Exploration, FZE",,971 4 4271700,info@sbexp.com,http://www.sbexp.com/,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Call not connecting,
,Lots Of Hotel,,971 4 5676300,mkader@lotsofhotels.com,https://www.lotsofhotels.com/cliente/login.aspx,HR,,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to HR,
